ibge_code,ibge_name,uf,prefeitura_url,camara_url
5106455,Planalto da Serra,MT,http://planaltodaserra.mt.gov.br,http://www.camaraplanaltodaserra.mt.gov.br/
5106505,Poconé,MT,https://pocone.mt.gov.br/,http://www.camarapocone.com.br/
5106653,Pontal do Araguaia,MT,http://pontaldoaraguaia.mt.gov.br,http://www.pontaldoaraguaia.mt.leg.br/
5106703,Ponte Branca,MT,,http://camarapontebranca.com.br/
5106752,Pontes e Lacerda,MT,http://ponteselacerda.mt.gov.br,https://www.ponteselacerda.mt.leg.br/
5106778,Porto Alegre do Norte,MT,https://portoalegredonorte.mt.gov.br/,https://www.portoalegredonorte.mt.leg.br/
5106802,Porto dos Gaúchos,MT,http://portodosgauchos.mt.gov.br,https://www.portodosgauchos.mt.leg.br/
5106828,Porto Esperidião,MT,http://www.portoesperidiao.mt.gov.br,https://www.camaraportoesperidiao.mt.gov.br/
5106851,Porto Estrela,MT,https://portoestrela.mt.gov.br/,https://www.camaraportoestrela.com.br/
5107008,Poxoréu,MT,http://«Página oficial»,http://poxoreu.mt.leg.br/
5107040,Primavera do Leste,MT,http://primaveradoleste.mt.gov.br,https://www.primaveradoleste.mt.leg.br/
5107065,Querência,MT,http://www.querencia.mt.gov.br,https://www.querencia.mt.leg.br/
5107107,São José dos Quatro Marcos,MT,https://saojosedosquatromarcos.mt.gov.br/,http://www.camarasaojosedosquatromarcos.mt.gov.br/
5107156,Reserva do Cabaçal,MT,http://reservadocabacal.mt.gov.br,https://reservadocabacal.mt.leg.br/
5107180,Ribeirão Cascalheira,MT,https://ribeiraocascalheira.mt.gov.br/,http://camararibeiraocascalheira.com.br/
5107198,Ribeirãozinho,MT,https://www.ribeiraozinho.mt.gov.br/,https://ribeiraozinho.mt.leg.br/
5107206,Rio Branco,MT,http://www.riobranco.ac.gov.br,https://camarariobrancomt.negocio.site/?utm_source=gmb&amp;utm_medium=referral
5107248,Santa Carmem,MT,https://santacarmem.mt.gov.br/,http://www.santacarmem.mt.leg.br/
5107263,Santo Afonso,MT,https://santoafonso.mt.gov.br/,http://camarasantoafonsomt.com.br/
5107297,São José do Povo,MT,https://saojosedopovo.mt.gov.br/,http://www.saojosedopovo.mt.leg.br/
